,Unnamed: 0,producto,precio,cantidad,medida,cantidad_,categoria,supermercado
48,82,Arroz basmati para microondas Brillante pack de 2 ud. de 125 g.,1.16,0.25,kg,0.25,arroz,carrefour
49,83,Maiz tierno dulce Bonduelle pack de 3 unidades de 140 g.,2.69,0.42,kg,0.42,maiz dulce,carrefour
50,86,Aceite de oliva suave 0.4ÃÂº La Espanola 1 l.,4.89,1.0,L,1.0,aceite de oliva,carrefour
51,87,Yogur griego de fresa Carrefour Extra sin gluten pack de 6 unidades de 125 g.,1.3,0.751,kg,0.751,yogur griego,carrefour
52,89,Leche semidesnatada ecologica Carrefour Bio brik 1 l.,0.99,1.0,L,1.0,leche semidesnatada,carrefour
53,91,Judias verdes planas cortadas Carrefour 360 g.,0.82,0.36,kg,0.36,judias verdes congeladas,carrefour
54,94,Aceite de oliva virgen extra Dcoop 1 l.,5.85,1.0,L,1.0,aceite de oliva virgen extra,carrefour
55,95,Aceitunas verdes rellenas de anchoa nueva receta Carrefour pack de 6 latas de 50 g,2.26,0.3,kg,0.3,aceitunas,carrefour
56,97,Mantequilla tradicional sin sal Central Lechera Asturiana 250 g.,2.35,0.25,kg,0.25,sal,carrefour
57,99,Patatas fritas gourmet sabor original Lay's 180 g.,2.28,0.18,kg,0.18,patatas fritas apetiritivo,carrefour
58,100,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2,guacamole,carrefour
59,103,Sal marina gruesa Carrefour 1 kg.,0.2,1.0,kg,1.0,sal gruesa,carrefour
60,106,Pandilla sabor queso Cheetos 75 g.,1.29,0.075,kg,0.075,cheetos,carrefour
61,109,Yogur de limon. de galleta. de fresa y de macedonia Danone pack de 8 unidades de 125 g.,2.14,0.96,kg,0.96,yogures de sabores,carrefour
62,111,Tomate frito Hida sin gluten y sin lactosa lata 350 g.,0.99,0.35,kg,0.35,tomate frito,carrefour
63,112,Ketchup Heinz envase 570 g.,2.35,0.57,kg,0.57,ketchup,carrefour
64,114,Tomate frito ecologico Carrefour Bio sin gluten 300 g.,0.99,0.3,kg,0.3,tomate frito,carrefour
65,116,Cafe molido natural Carrefour 250 g.,1.13,0.25,kg,0.25,cafe,carrefour
66,117,Margarina Tulipan sin gluten sin aceite de palma 450 g.,1.99,0.45,kg,0.45,pan,carrefour
67,118,Salsa de tomate De la Abuela Carrefour tarro 580 g.,1.54,0.55,kg,0.55,salsa,carrefour
68,119,Garbanzo categoria extra Carrefour 1 kg.,1.9,1.0,kg,1.0,garbanzo,carrefour
69,120,Mantequilla con sal Carrefour 250 g.,1.25,0.25,kg,0.25,sal,carrefour
70,121,Aceitunas verdes manzanilla sin hueso Carrefour 400 g.,1.6,0.4,kg,0.4,aceitunas,carrefour
71,124,Fideua Carrefour 500 g.,0.7,0.5,kg,0.5,fideua,carrefour
72,125,Oregano Carrefour 11 g.,0.35,0.011,kg,0.011,oregano,carrefour
73,126,Patatas fritas gourmet sabor original Lay's 180 g.,2.28,0.18,kg,0.18,patatas fritas apetiritivo,carrefour
74,127,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2,guacamole,carrefour
75,129,Sopa de pollo con fideos finos Gallina Blanca pack de 3 sobres de 71 g.,1.56,0.213,kg,0.213,fideos,carrefour
76,131,Atun claro en aceite de girasol Carrefour pack de 8 latas de 52 g.,4.2,0.416,kg,0.416,lata atun al aceite,carrefour
77,132,Leche entera Central Lechera Asturiana botella 1.5 l.,1.25,1.506,L,1.506,leche entera,carrefour
78,133,Ajo granulado Carrefour 55 g.,0.44,0.055,kg,0.055,ajo en polvo,carrefour
79,135,Anacardo crudo Carrefour 200 g.,2.66,0.2,kg,0.2,anacardos,carrefour
80,136,Tomate frito Carrefour tarro 550 g.,0.66,0.55,kg,0.55,tomate frito,carrefour
81,137,Arroz redondo para microondas Brillante pack de 2 ud. de 125 g.,0.99,0.25,kg,0.25,arroz,carrefour
82,139,Cereales integrales de chocolate Chocapic Nestle 750 g.,3.59,0.749,kg,0.749,cereales,carrefour
83,140,Leche semidesnatada brik 1 l.,0.6,1.0,L,1.0,leche semidesnatada,carrefour
84,141,Tomate frito Carrefour pack de 3 briks de 215 g.,0.78,0.645,kg,0.645,tomate frito,carrefour
85,142,Leche semidesnatada President brik 1 l.,0.74,1.0,L,1.0,leche semidesnatada,carrefour
86,144,Cafe molido mezcla Carrefour 500 g.,2.45,0.5,kg,0.5,cafe,carrefour
87,145,Guisantes muy finos Classic Carrefour pack de 3 latas de 140 g.,1.85,0.42,kg,0.42,guisantes congelados,carrefour
88,146,Pina con zumo de pina en rodajas Carrefour pack de 3 unidades de 139 g.,2.05,0.42,kg,0.42,zumo,carrefour
89,148,Cacao soluble original Cola Cao 760 g.,5.29,0.76,kg,0.76,cocacola,carrefour
90,149,Guisantes muy finos Classic Carrefour 250 g.,0.55,0.25,kg,0.25,guisantes congelados,carrefour
91,150,Aceite de oliva virgen extra hojiblanca Coosur 1 l.,5.99,1.0,L,1.0,aceite de oliva virgen extra,carrefour
92,151,Fideo nÃÂº0 Gallo 675 g.,1.67,0.676,kg,0.676,fideos,carrefour
93,153,Patatas fritas gourmet sabor original Lay's 180 g.,2.28,0.18,kg,0.18,patatas fritas apetiritivo,carrefour
94,154,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2,guacamole,carrefour
95,156,Macarron integral ecologico Carrefour Bio 500 g.,0.74,0.5,kg,0.5,macarrones,carrefour
96,157,Arroz basmati Carrefour 1 kg.,2.07,1.0,kg,1.0,arroz,carrefour
97,158,Maiz dulce Carrefour pack de 6 unidades de 70 g.,1.99,0.42,kg,0.42,maiz dulce,carrefour
98,159,Pizza de jamon y queso Carrefour 400 g.,1.99,0.4,kg,0.4,pizza,carrefour
99,160,Pizza caprese fina y crujiente Forno di Pietra Buitoni 350 g.,3.24,0.35,kg,0.35,pizza,carrefour
100,161,Petit de fresa y platano Danonino sin gluten pack de 6 unidades de 50 g.,1.19,0.3,kg,0.3,platano,carrefour
101,162,Atun en aceite de oliva pack de 6 latas de 52 g.,3.56,0.312,kg,0.312,lata atun al aceite,carrefour
102,163,Pizza quattro formaggi Ristorante Dr. Oetker 340 g.,3.48,0.34,kg,0.34,pizza,carrefour
103,166,Vinagre de manzana Carrefour 1 l.,0.62,1.0,L,1.0,manzanas,carrefour
104,168,Palomitas saladas para microondas Carrefour pack de 6 bolsas de 100 g.,1.46,0.601,kg,0.601,palomitas,carrefour
105,169,Atun claro en aceite de oliva Classic Carrefour pack de 3 latas de 52 g.,1.92,0.156,kg,0.156,lata atun al aceite,carrefour
106,170,Garbanzos cocidos sin sal anadida Carrefour 400 g.,0.67,0.401,kg,0.401,sal,carrefour
107,171,Chocolate negro para reposteria Nestle Postres sin gluten 250 g.,2.15,0.25,kg,0.25,chocolate negro,carrefour
108,173,Tomate triturado Cidacos 400 g.,0.87,0.401,kg,0.401,tomate,carrefour
109,174,Leche entera Carrefour pack de 6 briks de 200 ml.,1.35,1.195,L,1.195,leche entera,carrefour
110,175,Patatas fritas estilo churreria Carrefour 150 g.,0.8,0.15,kg,0.15,patatas fritas apetiritivo,carrefour
111,176,Aceite de oliva virgen extra Allegro 5 l.,17.95,5.0,L,5.0,aceite de oliva virgen extra,carrefour
112,177,Sardinillas en aceite de oliva Carrefour pack de 2 unidades de 65 g.,1.2,0.13,kg,0.13,lata sardinillas en aceite,carrefour
113,178,Yogur bifidus desnatado edulcorado natural Danone Activia pack de 8 unidades de 120 g.,3.29,1.0,kg,1.0,yogur natural,carrefour
114,179,Patatas fritas gourmet sabor original Lay's 180 g.,2.28,0.18,kg,0.18,patatas fritas apetiritivo,carrefour
115,180,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2,guacamole,carrefour
116,182,Crema de cacao con avellanas Nutella sin gluten 450 g.,3.79,0.45,kg,0.45,crema de cacao,carrefour
117,184,Mayonesa con aceite de girasol Carrefour tarro 450 ml.,0.99,0.427,kg,0.427,mayonesa,carrefour
118,185,Pizza 4 quesos fina y crujiente Forno Di Pietra Buitoni 350 g.,3.24,0.35,kg,0.35,pizza,carrefour
119,186,Yogur griego azucarado natural Danone Oikos sin gluten pack de 4 unidades de 110 g.,2.19,0.44,kg,0.44,yogur griego,carrefour
120,190,Tomate frito Orlando sin gluten pack de 3 briks de 212 g.,1.33,0.636,kg,0.636,tomate frito,carrefour
121,191,Yogur de coco. fresa. frutos del bosque y macedonia Danone pack de 8 unidades de 120 g.,2.14,1.0,kg,1.0,yogures de sabores,carrefour
122,193,Pizza barbacoa fina y crujiente Forno di Pietra Buitoni 325 g.,3.24,0.325,kg,0.325,pizza,carrefour
123,194,Arroz integral para microondas Brillante pack de 2 unidades de 125 g.,1.11,0.25,kg,0.25,arroz,carrefour
124,195,Yogur de fresa Danone sin gluten pack de 4 unidades de 120 g.,1.19,0.5,kg,0.5,yogures de sabores,carrefour
125,196,Hielo en cubitos Carrefour 2 kg.,0.71,2.029,kg,2.029,hielo,carrefour
126,197,Pistachos tostados sin sal anadida Carrefour 150 g.,1.8,0.15,kg,0.15,sal,carrefour
127,200,Arroz categoria extra La Fallera 1 kg.,1.47,1.0,kg,1.0,arroz,carrefour
128,202,Patatas fritas gourmet sabor original Lay's 180 g.,2.28,0.18,kg,0.18,patatas fritas apetiritivo,carrefour
129,203,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2,guacamole,carrefour
130,205,Yogur bifidus desnatado cremoso de vainilla de madagascar Danone Activia pack de 4 unidades de 120 g.,2.09,0.48,kg,0.48,yogur bifidus,carrefour
131,206,Leche entera Carrefour sin lactosa brik 1 l.,0.77,1.0,L,1.0,leche entera,carrefour
132,207,Melocoton en almibar ligero en mitades Carrefour 480 g.,1.5,0.481,kg,0.481,melocoton,carrefour
133,208,Leche semidesnatada con calcio Carrefour brik 1 l.,0.73,1.0,L,1.0,leche semidesnatada,carrefour
134,209,Leche entera brik 1 l.,0.6,1.0,L,1.0,leche entera,carrefour
135,210,Tomate de Navarra pelado troceado Carrefour 390 g.,0.53,0.39,kg,0.39,tomate,carrefour
136,212,Aceite de oliva intenso 1ÃÂº Carrefour 1 l.,3.2,1.0,L,1.0,aceite de oliva,carrefour
137,215,Atun claro al natural Calvo pack de 6 unidades de 56 g.,5.5,0.336,kg,0.336,lata atun al natural,carrefour
138,216,Turron de Jijona Carrefour sin gluten 250 g.,2.0,0.25,kg,0.25,turron,carrefour
139,217,Mermelada de fresa de temporada Hero 350 g.,1.85,0.35,kg,0.35,mermelada,carrefour
140,221,Yogur griego con fresas Danone Oikos sin gluten pack de 4 unidades de 110 g.,2.35,0.44,kg,0.44,yogur griego,carrefour
141,222,Almendra repelada cruda Carrefour tarrina 250 g,3.99,0.25,kg,0.25,almendras,carrefour
142,224,Patatas fritas onduladas sabor jamon Ruffles 160 g.,1.54,0.16,kg,0.16,patatas fritas apetiritivo,carrefour
143,226,Pimientos del Piquillo asados en tiras primera Carrefour sin lactosa 225 g.,0.99,0.225,kg,0.225,pimientos de piquillo,carrefour
144,227,Sardinas en aceite de oliva bajo en sal Calvo 84 g.,1.32,0.084,kg,0.084,sal,carrefour
145,228,Patatas fritas gourmet sabor original Lay's 180 g.,2.28,0.18,kg,0.18,patatas fritas apetiritivo,carrefour
146,229,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2,guacamole,carrefour
147,231,Cafe molido natural cultivo sostenible Nestle Bonka 500 g.,3.45,0.5,kg,0.5,cafe,carrefour
148,232,Macarrones integrales Carrefour 500 g.,0.8,0.5,kg,0.5,macarrones,carrefour
149,233,Nachos sabor clasico Carrefour 150 g.,0.85,0.15,kg,0.15,nachos,carrefour
150,234,Pimiento rojo en tiras Carrefour pack de 3 latas de 60 g.,0.99,0.18,kg,0.18,pimientos rojos,carrefour
151,236,Macarrones Carrefour 500 g.,0.65,0.5,kg,0.5,macarrones,carrefour
152,240,Turron de yema tostada Carrefour Sensation sin gluten 250 g.,1.9,0.25,kg,0.25,turron,carrefour
153,241,Judias verdes troceadas al natural La Hacienda de Ybarra 360 g.,0.99,0.36,kg,0.36,judias verdes congeladas,carrefour
154,244,Pizza 4 quesos Carrefour 400 g.,1.99,0.4,kg,0.4,pizza,carrefour
155,245,Fideo entrefino Carrefour 500 g.,0.7,0.5,kg,0.5,fideos,carrefour
156,246,Arroz largo vaporizado Brillante 1 kg.,1.59,1.0,kg,1.0,arroz,carrefour
157,249,Yogur azucarado natural Danone pack de 8 unidades de 120 g.,2.14,1.0,kg,1.0,yogur natural,carrefour
158,250,Mayonesa con aceite de girasol Carrefour envase 380 g.,0.94,0.381,kg,0.381,mayonesa,carrefour
159,253,Yogur bifidus desnatado natural Danone Activia pack de 8 unidades de 120 g.,3.29,1.0,kg,1.0,yogur natural,carrefour
160,254,Patatas fritas gourmet sabor original Lay's 180 g.,2.28,0.18,kg,0.18,patatas fritas apetiritivo,carrefour
161,255,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2,guacamole,carrefour
162,257,Leche entera President brik 1 l.,0.74,1.0,L,1.0,leche entera,carrefour
163,261,Pina con zumo de pina en rodajas Carrefour 490 g.,1.6,0.489,kg,0.489,zumo,carrefour
164,263,Arroz redondo Brillante Sabroz 1 kg.,1.89,1.0,kg,1.0,arroz,carrefour
165,266,Pizza 4 quesos Casa Tarradellas 390 g.,2.63,0.39,kg,0.39,pizza,carrefour
166,267,Laurel Carrefour 10 g.,0.55,0.01,kg,0.01,laurel,carrefour
167,269,Aceite de oliva intenso 1ÃÂº Carrefour garrafa 5 l.,15.5,5.0,L,5.0,aceite de oliva,carrefour
168,270,Pizza prosciutto Ristorante Dr. Oetker 330 g.,3.48,0.33,kg,0.33,pizza,carrefour
169,275,Palomitas al punto de sal para microondas Popitas sin gluten pack de 3 unidades de 100 g.,2.49,0.3,kg,0.3,sal,carrefour
170,276,Alubia blanca categoria extra Carrefour 1 kg.,1.55,1.0,kg,1.0,alubias blancas,carrefour
171,277,Preparado lacteo Omega 3 Puleva sin gluten brik 1 l.,1.39,1.0,L,1.0,leche para bebes,carrefour
172,278,Vinagre balsamico de modena Carrefour 500 ml.,1.84,0.5,L,0.5,vinagre balsamico,carrefour
173,279,Patatas fritas gourmet sabor original Lay's 180 g.,2.28,0.18,kg,0.18,patatas fritas apetiritivo,carrefour
174,280,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2,guacamole,carrefour
175,282,Pure de patatas Maggi sin gluten 520 g.,2.79,0.52,kg,0.52,pure,carrefour
176,284,Yogur de limon Danone sin gluten pack de 4 unidades de 120 g.,1.19,0.5,kg,0.5,yogures de sabores,carrefour
177,286,Maiz para palomitas Carrefour500 g.,1.39,0.5,kg,0.5,palomitas,carrefour
178,288,Perejil Carrefour 10 g.,0.38,0.01,kg,0.01,perejil,carrefour
179,289,Miel de flores antigoteo Carrefour 500 g.,2.99,0.5,kg,0.5,miel,carrefour
180,290,Pistachos tostados y saldaos Carrefour 400 g.,4.75,0.4,kg,0.4,pistachos,carrefour
181,291,Aceite de oliva virgen extra Carrefour spray 200 ml.,1.95,0.2,L,0.2,aceite de oliva virgen extra,carrefour
182,292,Pimientos de piquillo asados Carrefour 350 g.,1.39,0.35,kg,0.35,pimientos de piquillo,carrefour
183,293,Cereales crujientes con chocolate Muesli Carrefour 750 g.,2.59,0.751,kg,0.751,cereales,carrefour
184,295,Cafe soluble natural Carrefour 200 g.,1.85,0.2,kg,0.2,cafe,carrefour
185,296,Mayonesa Ybarra sin gluten y sin lactosa tarro 450 ml.,1.66,0.45,L,0.45,mayonesa,carrefour
186,297,Aceite de girasol Coosol 1 l.,1.83,1.0,L,1.0,aceite de girasol,carrefour
187,300,Cereales de maiz Corn Flakes 500 g.,0.99,0.5,kg,0.5,cereales,carrefour
188,301,Turron de Alicante Carrefour sin gluten 250 g.,2.0,0.25,kg,0.25,turron,carrefour
189,303,Galletas finas con chocolate negro Digestive Fontaneda 170 g.,1.69,0.17,kg,0.17,chocolate negro,carrefour
190,304,Alubia cocida categoria extra Luengo 400 g.,0.95,0.401,kg,0.401,alubias,carrefour
191,305,Patatas fritas gourmet sabor original Lay's 180 g.,2.28,0.18,kg,0.18,patatas fritas apetiritivo,carrefour
192,306,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2,guacamole,carrefour
193,308,Datil deshuesado Carrefour tarrina 300 g,2.99,0.3,kg,0.3,datiles,carrefour
194,309,Garbanzo lechoso categoria extra Luengo 1 kg.,3.6,1.0,kg,1.0,garbanzo,carrefour
195,310,Arroz basmati Sundari 1 Kg.,3.11,1.0,kg,1.0,arroz,carrefour
196,312,Patatas fritas sabor campesinas Lay's 160 g.,1.56,0.16,kg,0.16,patatas fritas apetiritivo,carrefour
197,314,Margarina con sal Tulipan sin gluten sin aceite de palma 450 g.,1.99,0.45,kg,0.45,sal,carrefour
198,319,Ketchup Heinz envase 700 g.,2.89,0.7,kg,0.7,ketchup,carrefour
199,320,Yogur L.Casei liquido natural Danone Actimel pack de 14 unidades de 100 g.,5.99,1.4,kg,1.4,yogur natural,carrefour
200,322,Tortellini de quesos Knorr 250 g.,1.75,0.25,kg,0.25,pasta fresca rellena,carrefour
201,323,Yogur de macedonia Danone pack de 4 unidades de 120 g.,1.19,0.48,kg,0.48,yogures de sabores,carrefour
202,324,Yogur griego sabor lima limon Danone Oikos sin gluten pack de 4 unidades de 110 g.,2.29,0.44,kg,0.44,yogur griego,carrefour
203,328,Arroz largo vaporizado Carrefour 1 kg.,0.99,1.0,kg,1.0,arroz,carrefour
204,329,Patatas fritas gourmet sabor original Lay's 180 g.,2.28,0.18,kg,0.18,patatas fritas apetiritivo,carrefour
205,330,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2,guacamole,carrefour
206,332,Cafe soluble natural classic Nescafe 300 g.,7.47,0.3,kg,0.3,cafe,carrefour
207,333,Nachos sabor original Doritos Dippas sin gluten y sin lactosa 180 g.,1.99,0.18,kg,0.18,nachos,carrefour
208,335,Leche semidesnatada Carrefour pack de 6 briks de 200 ml.,1.35,1.195,L,1.195,leche semidesnatada,carrefour
209,336,Cafe molido mezcla Gran Aroma Marcilla 500 g.,5.29,0.5,kg,0.5,cafe,carrefour
210,337,Garbanzos cocidos Carrefour 210 g.,0.52,0.21,kg,0.21,garbanzo,carrefour
211,339,Salsa de soja Carrefour botella 125 ml.,0.74,0.125,L,0.125,salsa soja,carrefour
212,341,Cereales de cacao y avellanas Carrefour 500 g.,1.59,0.5,kg,0.5,avellanas,carrefour
213,344,Bebida de almendras tostadas sin azucar Alpro Central Lechera Asturiana brik 1 l.,1.95,1.0,L,1.0,almendras,carrefour
214,345,Aceite de oliva virgen extra arbequina Carbonell 1 l.,6.39,1.0,L,1.0,aceite de oliva virgen extra,carrefour
215,346,Mermelada de fresa categoria extra Carrefour 410 g.,0.99,0.411,kg,0.411,mermelada,carrefour
216,347,Pasta penne ziti rigate Garofalo 500 g.,1.81,0.5,kg,0.5,macarrones,carrefour
217,348,Flan de queso Carrefour sin gluten pack de 4 unidades de 100 g.,1.5,0.4,kg,0.4,queso,carrefour
218,349,Macedonia de verduras sin sal anadida Carrefour 320 g.,0.7,0.32,kg,0.32,sal,carrefour
219,351,Aperitivo sabor queso Carrefour 100 g.,0.6,0.1,kg,0.1,queso,carrefour
220,352,Nachos con sal Totopos Mexifoods sin gluten y sin aceite de palma 300 g.,3.05,0.3,kg,0.3,sal,carrefour
221,355,Patatas fritas onduladas Carrefour 170 g.,0.54,0.17,kg,0.17,patatas fritas apetiritivo,carrefour
222,356,Patatas fritas gourmet sabor original Lay's 180 g.,2.28,0.18,kg,0.18,patatas fritas apetiritivo,carrefour
223,357,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2,guacamole,carrefour
224,359,Yogur bifidus cremoso de lima y limon Danone Activia sin gluten pack de 4 unidades de 120 g.,2.09,0.48,kg,0.48,yogur bifidus,carrefour
225,360,Patatas fritas sabor jamon serrano Carrefour 150 g.,0.78,0.15,kg,0.15,patatas fritas apetiritivo,carrefour
226,362,Tiras de maiz BBQ orginal Fritos 146 g.,1.43,0.146,kg,0.146,maiz frito (quicos),carrefour
227,364,Cortezas de trigoBoca Bits Matutano 84 g.,1.56,0.084,kg,0.084,torreznos,carrefour
228,365,Lentejas a la riojana Litoral sin gluten y sin lactosa 430 g.,1.69,0.43,kg,0.43,lentejas,carrefour
229,366,Yogur de coco Danone sin gluten pack de 4 unidades de 120 g.,1.19,0.5,kg,0.5,yogures de sabores,carrefour
230,367,Cacao soluble Cola Cao 1600 g.,9.15,1.6,kg,1.6,cocacola,carrefour
231,368,Anacardos crudos Carrefour 150 g,2.99,0.15,kg,0.15,anacardos,carrefour
232,370,Atun claro en aceite de girasol Calvo pack de 6 latas de 52 g.,5.69,284.5,kg,284.5,lata atun al aceite,carrefour
233,371,Bicarbonato sodico Carrefour 300 g.,0.45,0.3,kg,0.3,bicarbonato sodico,carrefour
234,372,Crema de avellanas original Nocilla sin gluten y sin aceite de palma 360 g.,2.85,0.36,kg,0.36,avellanas,carrefour
235,373,Avellana repelada tostada sin sal Carrefour tarrina 225 g,3.99,0.225,kg,0.225,sal,carrefour
236,374,Pimientos del Piquillo en tiras al ajillo Carrefour sin lactosa 225 g.,0.99,0.225,kg,0.225,pimientos de piquillo,carrefour
237,375,Galletas finas con chocolate con leche Digestive Fontaneda 170 g.,1.69,0.17,kg,0.17,chocolate con leche,carrefour
238,376,Yogur bifidus desnatado cremoso de mango Danone Activia sin gluten pack de 4 unidades de 120 g.,2.09,0.48,kg,0.48,yogur bifidus,carrefour
239,377,Leche entera fresca Carrefour botella 1 l.,0.8,1.0,L,1.0,leche entera,carrefour
240,378,Aceitunas verdes rellenas de anchoa La Espanola sin gluten pack de 6 latas de 50 g.,4.25,0.3,kg,0.3,aceitunas,carrefour
241,380,Guacamole Carrefour 500 g,3.19,0.5,kg,0.5,guacamole,carrefour
242,381,Patatas fritas al punto de sal Lay's sin gluten y sin lactosa 160 g.,1.37,0.16,kg,0.16,sal,carrefour
243,382,Patatas fritas gourmet sabor original Lay's 180 g.,2.28,0.18,kg,0.18,patatas fritas apetiritivo,carrefour
244,383,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2,guacamole,carrefour
245,385,Yogur bifidus desnatado con trozos de melocoton ymaracuya sin azucar anadido Carrefour pack de 4 unidades de 125 g.,0.95,0.5,kg,0.5,yogur bifidus,carrefour
