,precio,precio_rel,producto,link,Q,precio_medida,medida,Q_medida
55,1.65,0.75 /l,Leche entera Central Lechera Asturiana botella 2.2 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72,,0.75,l,2.2
56,0.9,1.80 /kg,Galletas rellenas de crema de chocolate Mega Carrefour Classic 500 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 500 g.,1.8,kg,0.5
57,1.25,0.83 /l,Leche semidesnatada Central Lechera Asturiana botella 1.5 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72,,0.83,l,1.506
58,1.14,1.14 /kg,Harina de trigo Gallo 1 kg.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 1 kg.,1.14,kg,1.0
59,1.67,24.20 /kg,Mejillones en escabeche Calvo 69 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 69 g.,24.2,kg,0.069
60,0.99,0.83 /l,Batido de cacao Carrefour sin gluten pack de 6 briks de 200 ml.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 6 briks de 200 ml.,0.83,l,1.193
61,0.99,0.99 /l,Leche entera ecologica Carrefour Bio brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 1 l.,0.99,l,1.0
62,1.59,3.18 /docena,Huevos L camperos Calidad y Origen Carrefour 6 ud,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 6 ud,3.18,docena,0.5
63,1.29,9.92 /kg,Pelotazos sabor queso Cheetos sin gluten 130 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 130 g.,9.92,kg,0.13
64,0.94,0.94 /l,Leche semidesnatada Pascual brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 1 l.,0.94,l,1.0
65,1.1,4.58 /kg,Hummus receta clasica Carrefour sin gluten 240 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 240 g.,4.58,kg,0.24
66,2.19,4.98 /kg,Yogur griego natural Danone Oikos sin gluten pack de 4 unidades de 110 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 4 unidades de 110 g.,4.98,kg,0.44
67,2.7,9.15 /kg,Patatas fritas onduladas sabor Ruffles 295 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 295 g.,9.15,kg,0.295
68,0.94,0.94 /l,Leche desnatada 0% MG Pascual brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 1 l.,0.94,l,1.0
69,0.6,1.20 /kg,Fideo cabellin Carrefour 500 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 500 g.,1.2,kg,0.5
70,1.74,1.45 /kg,Yogur liquido de fresa Carrefour Classic' pack de 12 unidades de 100 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 12 unidades de 100 g.,1.45,kg,1.2
71,1.29,4.30 /kg,Patatas fritas churreria en aceite de girasol Carrefour pack de 2 bolsas de 150 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 2 bolsas de 150 g.,4.3,kg,0.3
72,1.05,4.20 /kg,Turron de chocolate con leche crujiente Carrefour sin gluten 250 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 250 g.,4.2,kg,0.25
73,1.05,1.40 /kg,Yogur griego natural azucarado Carrefour Extra pack de 6 unidades de 125 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 6 unidades de 125 g.,1.4,kg,0.75
74,2.14,2.14 /kg,Yogur natural Danone pack de 8 unidades de 120 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 8 unidades de 120 g.,2.14,kg,1.0
75,2.28,12.67 /kg,Patatas fritas gourmet sabor original Lay's 180 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 180 g.,12.67,kg,0.18
76,1.49,7.45 /kg,Guacamole Carrefour 200 g,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 200 g,7.45,kg,0.2
77,1.99,3.98 /docena,Huevos M-L ecologicos Carrefour Bio 6 ud.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=72, 6 ud.,3.98,docena,0.5
78,1.0,1 /l,Bebida de avena calcio sin azucar anadido Carrefour brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 1 l.,1.0,l,1.0
79,1.89,5.48 /kg,Champinones laminados Carrefour pack de 3 unidades de 115 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 3 unidades de 115 g.,5.48,kg,0.345
80,2.65,7.07 /kg,Chocolate con leche extrafino Nestle sin gluten pack de 3 tabletas de 125 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 3 tabletas de 125 g.,7.07,kg,0.375
81,2.95,1.47 /kg,Arroz redondo Sos 2 kg.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 2 kg.,1.47,kg,2.007
82,1.16,4.64 /kg,Arroz basmati para microondas Brillante pack de 2 ud. de 125 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 2 ud. de 125 g.,4.64,kg,0.25
83,2.69,6.40 /kg,Maiz tierno dulce Bonduelle pack de 3 unidades de 140 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 3 unidades de 140 g.,6.4,kg,0.42
84,2.17,2.17 /docena,Huevos XL Carrefour 12 ud.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 12 ud.,2.17,docena,1.0
85,0.89,2.97 /kg,Galletas recubiertas de chocolate con leche Digestive Carrefour 300 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 300 g.,2.97,kg,0.3
86,4.89,4.89 /l,Aceite de oliva suave 0.4º La Espanola 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 1 l.,4.89,l,1.0
87,1.3,1.73 /kg,Yogur griego de fresa Carrefour Extra sin gluten pack de 6 unidades de 125 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 6 unidades de 125 g.,1.73,kg,0.751
88,1.47,1.47 /l,Bebida de avena sin azucar anadido YoSoy brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 1 l.,1.47,l,1.0
89,0.99,0.99 /l,Leche semidesnatada ecologica Carrefour Bio brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 1 l.,0.99,l,1.0
90,1.35,6.59 /kg,Esparrago blanco Carrefour 205 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 205 g.,6.59,kg,0.205
91,0.82,2.28 /kg,Judias verdes planas cortadas Carrefour 360 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 360 g.,2.28,kg,0.36
92,5.05,12.62 /kg,Nueces peladas carrefour 400 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 400 g.,12.62,kg,0.4
93,2.85,13.90 /kg,Esparragos blancos extra 8/12 Carretilla 205 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 205 g.,13.9,kg,0.205
94,5.85,5.85 /l,Aceite de oliva virgen extra Dcoop 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 1 l.,5.85,l,1.0
95,2.26,7.53 /kg,Aceitunas verdes rellenas de anchoa nueva receta Carrefour pack de 6 latas de 50 g,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 6 latas de 50 g,7.53,kg,0.3
96,2.29,23.85 /kg,Levadura Royal pack de 6 sobres de 16 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 6 sobres de 16 g.,23.85,kg,0.096
97,2.35,9.40 /kg,Mantequilla tradicional sin sal Central Lechera Asturiana 250 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 250 g.,9.4,kg,0.25
98,2.69,5.98 /kg,Varitas merluza enriquecidas Pescanova 450 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 450 g.,5.98,kg,0.45
99,2.28,12.67 /kg,Patatas fritas gourmet sabor original Lay's 180 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 180 g.,12.67,kg,0.18
100,1.49,7.45 /kg,Guacamole Carrefour 200 g,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 200 g,7.45,kg,0.2
101,1.99,3.98 /docena,Huevos M-L ecologicos Carrefour Bio 6 ud.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=96, 6 ud.,3.98,docena,0.5
102,1.09,1.09 /kg,Espaguetis Carrefour 1 kg.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 1 kg.,1.09,kg,1.0
103,0.2,0.20 /kg,Sal marina gruesa Carrefour 1 kg.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 1 kg.,0.2,kg,1.0
104,2.09,4.35 /kg,Natillas de vainilla Danone Danet pack de 4 unidades de 120 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 4 unidades de 120 g.,4.35,kg,0.48
105,2.1,1.75 /l,Batido de chocolate Puleva sin gluten pack de 6 briks de 200 ml.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 6 briks de 200 ml.,1.75,l,1.2
106,1.29,17.20 /kg,Pandilla sabor queso Cheetos 75 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 75 g.,17.2,kg,0.075
107,1.49,2.48 /kg,Galletas Safari Carrefour Classic pack de 3 unidades de 200 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 3 unidades de 200 g.,2.48,kg,0.601
108,0.94,6.27 /kg,Galletas con tableta de chocolate y leche Carrefour 150 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 150 g.,6.27,kg,0.15
109,2.14,2.23 /kg,Yogur de limon. de galleta. de fresa y de macedonia Danone pack de 8 unidades de 125 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 8 unidades de 125 g.,2.23,kg,0.96
110,3.35,1.67 /l,Caldo casero de cocido Gallina Blanca pack de 2 briks de 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 2 briks de 1 l.,1.67,l,2.006
111,0.99,2.83 /kg,Tomate frito Hida sin gluten y sin lactosa lata 350 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 350 g.,2.83,kg,0.35
112,2.35,4.12 /kg,Ketchup Heinz envase 570 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 570 g.,4.12,kg,0.57
113,0.97,0.97 /l,Leche desnatada Central Lechera Asturiana sin lactosa brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 1 l.,0.97,l,1.0
114,0.99,3.30 /kg,Tomate frito ecologico Carrefour Bio sin gluten 300 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 300 g.,3.3,kg,0.3
115,1.69,2.82 /kg,Tortilla de patatas con cebolla Carrefour Classic' sin gluten sin lactosa 600 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 600 g.,2.82,kg,0.599
116,1.13,4.52 /kg,Cafe molido natural Carrefour 250 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 250 g.,4.52,kg,0.25
117,1.99,4.42 /kg,Margarina Tulipan sin gluten sin aceite de palma 450 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 450 g.,4.42,kg,0.45
118,1.54,2.80 /kg,Salsa de tomate De la Abuela Carrefour tarro 580 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 580 g.,2.8,kg,0.55
119,1.9,1.90 /kg,Garbanzo categoria extra Carrefour 1 kg.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 1 kg.,1.9,kg,1.0
120,1.25,5 /kg,Mantequilla con sal Carrefour 250 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 250 g.,5.0,kg,0.25
121,1.6,4 /kg,Aceitunas verdes manzanilla sin hueso Carrefour 400 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 400 g.,4.0,kg,0.4
122,1.19,3.97 /kg,Petit de fresa Danonino sin gluten pack de 6 unidades de 50 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 6 unidades de 50 g.,3.97,kg,0.3
123,0.69,1.38 /kg,Espirales vegetales Carrefour 500 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 500 g.,1.38,kg,0.5
124,0.7,1.40 /kg,Fideua Carrefour 500 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 500 g.,1.4,kg,0.5
125,0.35,31.82 /kg,Oregano Carrefour 11 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 11 g.,31.82,kg,0.011
126,2.28,12.67 /kg,Patatas fritas gourmet sabor original Lay's 180 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 180 g.,12.67,kg,0.18
127,1.49,7.45 /kg,Guacamole Carrefour 200 g,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 200 g,7.45,kg,0.2
128,1.99,3.98 /docena,Huevos M-L ecologicos Carrefour Bio 6 ud.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=120, 6 ud.,3.98,docena,0.5
129,1.56,7.32 /kg,Sopa de pollo con fideos finos Gallina Blanca pack de 3 sobres de 71 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144, 3 sobres de 71 g.,7.32,kg,0.213
130,2.74,0.68 /l,Caldo de pollo Carrefour sin gluten pack de 4 briks de 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144, 4 briks de 1 l.,0.68,l,4.029
131,4.2,10.10 /kg,Atun claro en aceite de girasol Carrefour pack de 8 latas de 52 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144, 8 latas de 52 g.,10.1,kg,0.416
132,1.25,0.83 /l,Leche entera Central Lechera Asturiana botella 1.5 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144,,0.83,l,1.506
133,0.44,8 /kg,Ajo granulado Carrefour 55 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144, 55 g.,8.0,kg,0.055
134,0.64,0.64 /kg,Harina de trigo de fuerza Carrefour 1 kg.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144, 1 kg.,0.64,kg,1.0
135,2.66,13.30 /kg,Anacardo crudo Carrefour 200 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144, 200 g.,13.3,kg,0.2
136,0.66,1.20 /kg,Tomate frito Carrefour tarro 550 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144, 550 g.,1.2,kg,0.55
137,0.99,3.96 /kg,Arroz redondo para microondas Brillante pack de 2 ud. de 125 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144, 2 ud. de 125 g.,3.96,kg,0.25
138,1.14,1.63 /kg,Galletas Carrefour 700 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144, 700 g.,1.63,kg,0.699
139,3.59,4.79 /kg,Cereales integrales de chocolate Chocapic Nestle 750 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144, 750 g.,4.79,kg,0.749
140,0.6,0.60 /l,Leche semidesnatada brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144, 1 l.,0.6,l,1.0
141,0.78,1.21 /kg,Tomate frito Carrefour pack de 3 briks de 215 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144, 3 briks de 215 g.,1.21,kg,0.645
142,0.74,0.74 /l,Leche semidesnatada President brik 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144, 1 l.,0.74,l,1.0
143,0.75,3.33 /kg,Cookies con pepitas de chocolate Carrefour 225 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144, 225 g.,3.33,kg,0.225
144,2.45,4.90 /kg,Cafe molido mezcla Carrefour 500 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144, 500 g.,4.9,kg,0.5
145,1.85,4.40 /kg,Guisantes muy finos Classic Carrefour pack de 3 latas de 140 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144, 3 latas de 140 g.,4.4,kg,0.42
146,2.05,4.88 /kg,Pina con zumo de pina en rodajas Carrefour pack de 3 unidades de 139 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144, 3 unidades de 139 g.,4.88,kg,0.42
147,1.45,9.06 /kg,Galletas con pepitas de chocolate Minis Chips Ahoy 160 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144, 160 g.,9.06,kg,0.16
148,5.29,6.96 /kg,Cacao soluble original Cola Cao 760 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144, 760 g.,6.96,kg,0.76
149,0.55,2.20 /kg,Guisantes muy finos Classic Carrefour 250 g.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144, 250 g.,2.2,kg,0.25
150,5.99,5.99 /l,Aceite de oliva virgen extra hojiblanca Coosur 1 l.,https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=144, 1 l.,5.99,l,1.0
